CodFrota;descricao_especialidade;descricao_especialidadeAgrup;descricao_frota
60819;CAMINHAO - ASSISTENCIA;CAMINHAO;CAMINHAO VW 15190 QAM-3G38
60820;CAMINHAO - ASSISTENCIA;CAMINHAO;CAMINHAO VW 15190 QAH-2F18
60900;CAMINHAO - BOMBEIRO;CAMINHAO;CAMINHAO M.BENZ ATRON 2428 GZS-9055
60901;CAMINHAO - BOMBEIRO;CAMINHAO;CAMINHAO VOLVO FH 520 NLG-0093
60902;CAMINHAO - BOMBEIRO;CAMINHAO;CAMINHAO VOLVO FH 520 NLG-0C33
60903;CAMINHAO - BOMBEIRO;CAMINHAO;CAMINHAO VOLVO FH 520 NLG-0A43
60904;CAMINHAO - BOMBEIRO;CAMINHAO;CAMINHAO VOLVO FH 520 NWG-0033
60905;CAMINHAO - BOMBEIRO;CAMINHAO;CAMINHAO VOLVO VM 290 TFA-0F47
60906;CAMINHAO - BOMBEIRO;CAMINHAO;CAMINHAO VOLVO VM 270 QXX-5B99
60907;CAMINHAO - BOMBEIRO;CAMINHAO;CAMINHAO VOLVO VM 270 QXX-4A16
60908;CAMINHAO - BOMBEIRO;CAMINHAO;CAMINHAO VOLVO VM 270 RCC-7F11
60909;CAMINHAO - BOMBEIRO;CAMINHAO;CAMINHAO VOLVO VM 270 RCC-7F21
60910;CAMINHAO - BOMBEIRO;CAMINHAO;CAMINHAO VOLVO VM 270 RCK-3I11
60911;CAMINHAO - BOMBEIRO;CAMINHAO;CAMINHAO VOLKSWAGEN 26260 AVM-5521
60912;CAMINHAO - BOMBEIRO;CAMINHAO;CAMINHAO VOLVO VM 270 SHJ-5F28
60913;CAMINHAO - BOMBEIRO;CAMINHAO;CAMINHAO VOLVO VM 270 SHJ-5F27
60914;CAMINHAO - BOMBEIRO;CAMINHAO;CAMINHAO VOLVO VM 270 SHJ-5F26
60915;CAMINHAO - BOMBEIRO;CAMINHAO;CAMINHAO VOLVO VM 270 SHJ-5F25
60916;CAMINHAO - BOMBEIRO;CAMINHAO;CAMINHAO VOLVO VM 290 SYW-5J48
60917;CAMINHAO - BOMBEIRO;CAMINHAO;CAMINHAO VOLVO VM 270 RCE-9F89
61002;CAMINHAO - BORRACHARIA;CAMINHAO;CAMINHAO MUNCK VW 11180 SCW-8C62
61003;CAMINHAO - MUNCK;CAMINHAO;CAMINHAO MUNCK VOLVO VM 270 SDE-6J47
61050;CAMINHAO - TRANSP. TUBO;CAMINHAO;CAMINHAO VOLVO VM 290 OPP-1I86
61149;CAMINHAO - COMBOIO;CAMINHAO;CAMINHAO VOLVO VM 270 RCE-9A39
61150;CAMINHAO - COMBOIO;CAMINHAO;CAMINHAO VOLVO VM 270 SHJ-5F62
61151;CAMINHAO - COMBOIO;CAMINHAO;CAMINHAO VOLVO VM 270 QXH-9350
61152;CAMINHAO - COMBOIO;CAMINHAO;CAMINHAO VOLVO VM 270 RCG-2J33
61153;CAMINHAO - COMBOIO;CAMINHAO;CAMINHAO VOLVO VM 290 TEL-4A06
61250;CAMINHAO - CACAMBA;CAMINHAO;CAMINHAO VOLVO VM 330 QXH-9D44
61251;CAMINHAO - CACAMBA;CAMINHAO;CAMINHAO VOLVO VM 330 QXH-9D56
61252;CAMINHAO - CACAMBA;CAMINHAO;CAMINHAO VOLVO VM 330 QXX-3J86
61253;CAMINHAO - CACAMBA;CAMINHAO;CAMINHAO VOLVO VM 360 TEC-2C38
61254;CAMINHAO - CACAMBA;CAMINHAO;CAMINHAO VOLVO VM 360 TEC-2C75
62001;CARREGADEIRA - AGRICOLA;CARREGADEIRA;CARREGADEIRA VALTRA BM100
62002;CARREGADEIRA - AGRICOLA;CARREGADEIRA;CARREGADEIRA VALTRA BM100
62200;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 6190J
62201;TRATOR - AGRICOLA;TRATOR;TRATOR MASSEY FERGUSON 265
62202;TRATOR - TRANSBORDO;TRATOR;TRATOR VALTRA BH 224
62203;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 6190J
62204;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7230J
62205;TRATOR - AGRICOLA;TRATOR;TRATOR JOHN DEERE 5090E
62206;TRATOR - AGRICOLA;TRATOR;TRATOR JOHN DEERE 5090E
62207;TRATOR - AGRICOLA;TRATOR;TRATOR JOHN DEERE 5090E
62208;TRATOR - AGRICOLA;TRATOR;TRATOR JOHN DEERE 5080E
62209;TRATOR - AGRICOLA;TRATOR;TRATOR JOHN DEERE 5080E
62210;TRATOR - AGRICOLA;TRATOR;TRATOR JOHN DEERE 5080E
62211;TRATOR - AGRICOLA;TRATOR;TRATOR VALTRA A950
62212;TRATOR - AGRICOLA;TRATOR;TRATOR VALTRA A950
62213;TRATOR - AGRICOLA;TRATOR;TRATOR VALTRA A950
62214;TRATOR - AGRICOLA;TRATOR;TRATOR VALTRA A950
62215;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 6190J
62216;TRATOR - AGRICOLA;TRATOR;TRATOR JOHN DEERE 5090E
62217;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 6190J
62218;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7230J
62219;TRATOR - AGRICOLA;TRATOR;TRATOR JOHN DEERE 7230J
62220;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 6190J
62221;TRATOR - AGRICOLA;TRATOR;TRATOR JOHN DEERE 5090E
62222;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 6190J
62223;TRATOR - AGRICOLA;TRATOR;TRATOR JOHN DEERE 5090E
62224;TRATOR - AGRICOLA;TRATOR;TRATOR JOHN DEERE 5090E
62225;TRATOR - AGRICOLA;TRATOR;TRATOR JOHN DEERE 5090E
62226;TRATOR - AGRICOLA;TRATOR;TRATOR JOHN DEERE 5090E
62227;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7230J
62228;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7230J
62229;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7230J
62230;TRATOR - TRANSBORDO;TRATOR;TRATOR VALTRA BH 224
62231;TRATOR - TRANSBORDO;TRATOR;TRATOR VALTRA BH 224
62232;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7230J
62233;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7230J
62234;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7230J
62235;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7230J
62236;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7230J
62237;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7230J
62238;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7230J
62239;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 6190J
62240;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7230J
62241;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7230J
62242;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7230J
62243;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7230J
62244;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7230J
62245;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7230J
62246;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7230J
62247;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7230J
62248;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7230J
62249;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7230J
62250;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 6190J
62251;TRATOR - AGRICOLA;TRATOR;TRATOR JOHN DEERE 5090E
62252;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7230J
62253;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 6190J
62254;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 6190J
62255;TRATOR - AGRICOLA;TRATOR;TRATOR MASSEY FERGUSON 265
62256;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 6190J
62257;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 6190J
62258;TRATOR - AGRICOLA;TRATOR;TRATOR JOHN DEERE 5090E
62259;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 6190J
62260;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 6190J
62261;TRATOR - AGRICOLA;TRATOR;TRATOR JOHN DEERE 5090E
62262;TRATOR - AGRICOLA;TRATOR;TRATOR VALTRA BH 194
62263;TRATOR - AGRICOLA;TRATOR;TRATOR JOHN DEERE 7M230
62264;TRATOR - AGRICOLA;TRATOR;TRATOR JOHN DEERE 7M230
62265;TRATOR - AGRICOLA;TRATOR;TRATOR JOHN DEERE 7M230
62266;TRATOR - AGRICOLA;TRATOR;TRATOR JOHN DEERE 7M230
62267;TRATOR - AGRICOLA;TRATOR;TRATOR JOHN DEERE 5090E
62268;TRATOR - AGRICOLA;TRATOR;TRATOR JOHN DEERE 5090E
62269;TRATOR - AGRICOLA;TRATOR;TRATOR JOHN DEERE 5090E
62270;TRATOR - AGRICOLA;TRATOR;TRATOR JOHN DEERE 5090E
62271;TRATOR - TRANSBORDO;TRATOR;TRATOR VALTRA BH224
62272;TRATOR - TRANSBORDO;TRATOR;TRATOR VALTRA BH 224
62273;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7M230
62274;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7M230
62275;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7M230
62276;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7M230
62277;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7M230
62278;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7M230
62279;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7M230
62280;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 6190J
62281;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 6190J
62282;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 6190J
62283;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 6190J
62284;TRATOR - TRANSBORDO;TRATOR;TRATOR JOHN DEERE 7M230
62500;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62502;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62503;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62504;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62505;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62506;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62507;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62508;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62509;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62510;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62511;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62512;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62513;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62514;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62515;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62516;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62517;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62518;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62519;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62520;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62521;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62522;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62523;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62524;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62525;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62526;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62527;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62528;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62529;COLHEDORA - CANA;COLHEDORA;COLHEDORA JOHN DEERE CH570
62700;MAQUINA - UNIPORT;MAQUINA;TRATOR UNIPORT VALTRA BS3330H
63000;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXT-8F53
63001;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXR-8J81
63002;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXR-9B09
63003;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXR-9A26
63004;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXR-8J87
63005;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXR-9A31
63006;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXR-8J39
63007;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXR-9A20
63008;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXR-9A35
63009;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXT-8F38
63010;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXR-8J85
63011;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXR-9B14
63012;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QRX-9A22
63013;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXR-8J40
63014;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXR-9A69
63015;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXR-9A13
63016;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXR-9B23
63017;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXR-9B02
63018;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXT-8F20
63019;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXT-8E20
63020;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXT-8D71
63021;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXT-8F50
63022;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXT-8E17
63023;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXT-8E76
63024;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXT-8D73
63025;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXT-8D82
63026;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXT-8D89
63027;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXT-8D78
63028;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXT-8C54
63029;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXT-8C69
63030;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXT-8C61
63031;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXT-8F62
63032;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXT-8F65
63033;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXT-8F03
63034;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXT-8E36
63035;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXT-8F42
63036;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXT-8E25
63037;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXT-8E60
63038;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXU-9C16
63039;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXU-9C23
63040;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXU-9C28
63041;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXU-9C25
63042;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXX-3J62
63043;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXX-3J80
63044;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXX-3J64
63045;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXX-3J82
63046;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXX-3J73
63047;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXX-3J74
63048;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXX-3J75
63049;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXX-3J79
63050;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXX-3J78
63051;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXX-3J76
63052;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXX-3J77
63053;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXX-3J81
63054;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXX-4A34
63055;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXX-4A37
63056;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SANTA IZABEL CA QXX-4A29
63057;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXX-4A26
63058;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXX-4A25
63059;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SANTA IZABEL CA QXX-4A27
63060;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE RANDON RQ CP HI 0551 TCF-4E77
63061;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE RANDON RQ CP HI 0551 TCF-4G85
63063;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE RANDON SR CP SHU-7F98
63064;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE RANDON RQ CP SHU-6I46
63065;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE RANDON SR CP SHU-7G01
63066;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE RANDON RQ CP SHU-6I64
63067;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE RANDON SR CP SHV-0J95
63068;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE RANDON RQ CP SHU-7G03
63069;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE RANDON SR CP SHU-7F96
63070;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE RANDON RQ CP SHV-1A33
63071;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE RANDON SR CP SHV-3H58
63072;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE RANDON RQ CP SHW-1G82
63073;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE RANDON SR CP SHW-1G72
63074;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE RANDON RQ CP SHV-3H32
63075;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE RANDON SR CP SHW-1I54
63076;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE RANDON RQ CP SHW-1H64
63077;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE RANDON SR CP 0341 SHW-9E84
63078;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE RANDON RQ CP HI 0551 SHW-9E72
63079;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE RANDON SR CP 0341 SHW-7F05
63080;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE RANDON RQ CP HI 0551 SHW-7F25
63081;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE RANDON SR CP 0341 SHW-7F10
63082;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE RANDON RQ CP HI 0551 SHW-7F26
63083;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE RANDON SR CP 0341 SHX-3A28
63084;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE RANDON RQ CP HI 0551 SHX-3A29
63085;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE RANDON SR CP 0341 SHY-4J52
63086;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE RANDON RQ CP HI 0551 SHY-4J36
63087;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE FACCHINI RF 4TC SIH-2G49
63088;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE FACCHINI RF 4TC SIH-2G21
63089;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE FACCHINI RF 4TC SIH-2G45
63090;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE FACCHINI RF 4TC SIH-2H00
63091;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE FACCHINI SRF 2TC SIH-2G97
63092;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE FACCHINI SRF 2TC SIF-1B78
63093;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE FACCHINI SRF 2TC SIH-2G67
63094;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE FACCHINI SRF 2TC SIH-2G86
63095;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE FACCHINI SRF 2TC SIG-1F15
63096;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE FACCHINI RF 4TC SIF-1C26
63097;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE RANDON SR CP 0341 SYW-5I44
63098;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE RANDON RQ CP HI 0551 SYW-5I69
63099;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE RANDON SR CP 0341 SYW-5I99
63100;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE RANDON RQ CP HI 0551 SYW-5I96
63101;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE RANDON SR CP 0341 SYW-5J18
63102;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE RANDON RQ CP HI 0551 SYW-5J25
63103;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE RANDON SR CP 0341 SYY-8H01
63104;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE RANDON RQ CP HI 0551 SYY-8G96
63106;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE RANDON RQ CP HI 0551 TCG-8I03
63107;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE RANDON SR CP 0341 TCC-6G54
63108;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE RANDON RQ CP HI 0551 TCC-6G50
63110;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE RANDON SR CP 0341 TCG-8I01
63113;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE RANDON RQ CP HI 0551 TCF-4F52
63114;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE RANDON RQ CP HI 0551 TCF-8I53
63115;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE RANDON SR CP 0341 TCF-4F39
63116;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE RANDON SR CP 0341 TCF-4F43
63117;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE RANDON SR CP 0341 TCF-4E83
63118;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE RANDON SR CP 0341 TCF-8I54
63119;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE RANDON RQ CP HI 0551 TCG-1J41
63120;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE RANDON SR CP 0341 TCG-1J43
63121;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE RANDON RQ CP HI 0551 TCG-1J46
63122;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE RANDON SR CP 0341 TCG-1J44
63123;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE RODOFORT HDB-6615
63124;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE RODOFORT HDB-6627
63125;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE RODOFORT HDB-6616
63126;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE RODOFORT HDB-6632
63127;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SERGOMEL QXY-9D15
63128;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SERGOMEL BED-0F87
63129;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SERGOMEL QXY-9D34
63130;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SERGOMEL QXY-9E68
63131;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SERGOMEL BEA-4J79
63132;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SERGOMEL BDZ-9F91
63134;REBOQUE - CANAVIEIRO;REBOQUE;REBOQUE SERGOMEL BEA-4J24
63135;REBOQUE - CANAVIEIRO;REBOQUE;SEMI REBOQUE SERGOMEL BDZ-9F97
63300;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO FBL-2H42
63301;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO FBL-2H41
63302;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO FBL-2H51
63303;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO RODOFORT HBD-6C86
63304;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63305;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO RODOFORT HDB-6C53
