CodFrota;descricao_especialidade;descricao_especialidadeAgrup;descricao_frota
47307;IMPLEMENTO - DIVERSOS;IMPLEMENTO;COMPOSTADOR ORGANICO CIVEMASA CRO 4.0
47308;IMPLEMENTO - GUINDASTE;IMPLEMENTO;GUINDASTE IMO STC 300 B OWS-7140
47310;IMPLEMENTO - GUINDASTE;IMPLEMENTO;GUINDASTE IMO SANY STC 1000 SDC-8E33
47311;IMPLEMENTO - GUINDASTE;IMPLEMENTO;GUINDASTE IMO SANY STC 75
47312;IMPLEMENTO - APLIC. INSETICIDA;IMPLEMENTO;PULV. IMPLEMENTO CB CROSS JACTO 150 MF
47313;IMPLEMENTO - MOTOSSERRA;IMPLEMENTO;MOTOSSERRA STIHL MS 660
47314;UTILITARIO - DIVERSOS;UTILITARIO;PERFURATRIZ CZM EM400
47315;IMPLEMENTO - GUINDASTE;IMPLEMENTO;GUINDASTE IMO XCMG QY 25K HOA-0993
47316;UTILITARIO - DIVERSOS;UTILITARIO;PERFURATRIZ SOILMEC SR 30
47317;IMPLEMENTO - GUINDASTE;IMPLEMENTO;GUINDASTE IMO XCMG QY25K CPG-6542
47318;IMPLEMENTO - GUINDASTE;IMPLEMENTO;GUINDASTE IMO SANY STC 800 OMF-9099
47319;IMPLEMENTO - GUINDASTE;IMPLEMENTO;GUINDASTE IMO SANY SAC 2200S RCA-7F12
47320;IMPLEMENTO - GUINDASTE;IMPLEMENTO;GUINDASTE IMO SANY STC 800 OKS-1G07
47321;IMPLEMENTO - GUINDASTE;IMPLEMENTO;GUINDASTE IMO LIEBHERR LTM 1220 HIE-0066
47322;IMPLEMENTO - ROCADEIRA;IMPLEMENTO;ROCADEIRA ARRASTO KAMAQ SR 300 P
47323;IMPLEMENTO - DIVERSOS;IMPLEMENTO;BOMBA CONCRETO ZOOMLION HBT50.10.60RS
47324;IMPLEMENTO - GUINDASTE;IMPLEMENTO;GUINDASTE IMO SANY STC 75
47325;MAQUINA PESADA - PLATAFORMA PANTOGRAFICA;MAQUINA PESADA;PLATAFORMA ZOOMLION ZA45J
47700;AERONAVE - DIVERSOS;AERONAVE;AERONAVE CESSNA PT-WKD A118B
47701;AERONAVE - DIVERSOS;AERONAVE;AERONAVE CESSNA PR-ETX A188B
47702;AERONAVE - DIVERSOS;AERONAVE;AERONAVE PT GBJ EMB 200A
47704;DRONE - APLICACAO AEREA;DRONE;DRONE DJI AGRAS T40
47800;UTILITARIO - TRANSPORTE;UTILITARIO;VEICULO RESERVA LOCACAO
60000;VEICULO - DIRETORIA;VEICULO;CAMINHONETE HILUX SW4 PLATINUM SDM-8I81
60001;VEICULO - DIRETORIA;VEICULO;CAMINHONETE FORD RANGER QSD-2C81
60002;VEICULO - DIRETORIA;VEICULO;AUTOMOVEL CARRYALL 1
60003;VEICULO - DIRETORIA;VEICULO;CAMINHONETE GM S10 LTZ RLR-5B44
60050;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT STRADA FREEDOM SIX-5D36
60051;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT STRADA HARD W. QQT-8908
60052;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL VW GOL L MB5 RFE-6I02
60053;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL VW GOL L MB5 RFE-6I18
60054;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT STRADA ENDURANCE RUY-1A18
60055;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT STRADA ENDURANCE RUY-1A42
60056;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL VW SAVEIRO CD RB MF TCN-5A75
60057;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT STRADA FREEDOM TCF-4G86
60058;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT STRADA ENDURANCE RUY-1A26
60059;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL VW GOL MPI SGT-0H11
60060;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL VW SAVEIRO ROBUST RTO-9A32
60061;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT MOBI LIKE SIF-6A54
60062;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL VW GOL MC4 QXX-4A23
60063;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT STRADA ENDURANCE TCR-5E46
60064;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT STRADA FREEDOM TCR-5E54
60065;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT MOBI LIKE TDF-8D90
60066;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT STRADA ENDURANCE RUY-1A20
