ID;Categoria
62222;TRATOR TRANSBORDO
62223;TRATOR CONVENCIONAL
62224;TRATOR CONVENCIONAL
62225;TRATOR CONVENCIONAL
62226;TRATOR CONVENCIONAL
62227;TRATOR TRANSBORDO
62228;TRATOR TRANSBORDO
62229;TRATOR TRANSBORDO
62230;TRATOR TRANSBORDO
62231;TRATOR TRANSBORDO
62232;TRATOR CONVENCIONAL
62233;TRATOR CONVENCIONAL
62234;TRATOR CONVENCIONAL
62235;TRATOR CONVENCIONAL
62236;TRATOR TRANSBORDO
62237;TRATOR CONVENCIONAL
62238;TRATOR TRANSBORDO
62239;TRATOR CONVENCIONAL
62240;TRATOR TRANSBORDO
62241;TRATOR TRANSBORDO
62242;TRATOR CONVENCIONAL
62243;TRATOR CONVENCIONAL
62244;TRATOR TRANSBORDO
62245;TRATOR TRANSBORDO
62246;TRATOR CONVENCIONAL
62247;TRATOR CONVENCIONAL
62248;TRATOR CONVENCIONAL
62249;TRATOR TRANSBORDO
62250;TRATOR TRANSBORDO
62251;TRATOR CONVENCIONAL
62252;TRATOR TRANSBORDO
62253;TRATOR TRANSBORDO
62254;TRATOR TRANSBORDO
62255;TRATOR TRANSBORDO
62256;TRATOR TRANSBORDO
62257;TRATOR TRANSBORDO
62258;TRATOR CONVENCIONAL
62259;TRATOR TRANSBORDO
62260;TRATOR TRANSBORDO
62261;TRATOR CONVENCIONAL
62262;TRATOR CONVENCIONAL
62263;TRATOR TRANSBORDO
62264;TRATOR TRANSBORDO
62265;TRATOR TRANSBORDO
62266;TRATOR TRANSBORDO
62500;COLHEDORAS
62502;COLHEDORAS
62503;COLHEDORAS
62504;COLHEDORAS
62505;COLHEDORAS
62506;COLHEDORAS
62507;COLHEDORAS
62508;COLHEDORAS
62509;COLHEDORAS
62510;COLHEDORAS
62511;COLHEDORAS
62512;COLHEDORAS
62513;COLHEDORAS
62514;COLHEDORAS
62515;COLHEDORAS
62516;COLHEDORAS
62517;COLHEDORAS
62518;COLHEDORAS
62519;COLHEDORAS
